date,source,source_label,medium,medium_label,campaign_id,campaign_name,segment,impressions,clicks,spend,conversions,total_conversion,ctr,cpc,cpa,dataset
2025-04-18,google_ads,Google Ads,paid_search,Paid Search,g-0001,Top Gun: Maverick Push,,248175,3400,2741.78,39,,0.0137,0.8064,70.3021,portfolio
2025-04-18,google_ads,Google Ads,paid_search,Paid Search,g-0002,Transformers: Rise of the Beasts,,237810,3258,2627.54,36,,0.0137,0.8065,72.9872,portfolio
2025-04-18,google_ads,Google Ads,paid_search,Paid Search,g-0003,Comedy Classics Retargeting East Google,,108540,1487,1199.53,13,,0.0137,0.8067,92.2715,portfolio
2025-04-18,google_ads,Google Ads,paid_search,Paid Search,g-0004,Sports Weekend Trial Midwest Google,,119781,1641,1323.29,21,,0.0137,0.8064,63.0138,portfolio
2025-04-18,google_ads,Google Ads,paid_search,Paid Search,g-0005,Kids and Family Winback South Google,,130949,1794,1447.05,17,,0.0137,0.8066,85.1206,portfolio
2025-04-18,google_ads,Google Ads,paid_search,Paid Search,g-0006,Reality Launch Awareness US Google,,142190,1948,1570.81,23,,0.0137,0.8064,68.2961,portfolio
2025-04-18,google_ads,Google Ads,paid_search,Paid Search,g-0007,Sci-Fi Vault Prospecting West Google,,153358,2101,1694.58,19,,0.0137,0.8066,89.1884,portfolio
2025-04-18,google_ads,Google Ads,paid_search,Paid Search,g-0008,Movie Night Retargeting East Google,,164599,2255,1818.34,40,,0.0137,0.8064,45.4585,portfolio
2025-04-18,google_ads,Google Ads,paid_search,Paid Search,g-0009,Holiday Watchlist Trial Midwest Google,,175766,2408,1942.1,22,,0.0137,0.8065,88.2773,portfolio
2025-04-18,google_ads,Google Ads,paid_search,Paid Search,g-0010,Live Events Winback South Google,,86131,1180,952.01,17,,0.0137,0.8068,56.0006,portfolio
2025-04-18,google_ads,Google Ads,paid_search,Paid Search,g-0011,Library Retention Awareness US Google,,97372,1334,1075.77,17,,0.0137,0.8064,63.2806,portfolio
2025-04-18,google_ads,Google Ads,paid_search,Paid Search,g-0012,Premium Bundle Prospecting West Google,,108540,1487,1199.53,14,,0.0137,0.8067,85.6807,portfolio
2025-04-18,google_ads,Google Ads,paid_search,Paid Search,g-0013,Student Offer Retargeting East Google,,119781,1641,1323.29,24,,0.0137,0.8064,55.1371,portfolio
2025-04-18,google_ads,Google Ads,paid_search,Paid Search,g-0014,Family Plan Trial Midwest Google,,130949,1794,1447.05,21,,0.0137,0.8066,68.9071,portfolio
2025-04-18,google_ads,Google Ads,paid_search,Paid Search,g-0015,Winback Audience Winback South Google,,142190,1948,1570.81,23,,0.0137,0.8064,68.2961,portfolio
2025-04-18,google_ads,Google Ads,paid_search,Paid Search,g-0016,New Release Awareness US Google,,153358,2101,1694.58,29,,0.0137,0.8066,58.4338,portfolio
2025-04-18,google_ads,Google Ads,paid_search,Paid Search,g-0017,Binge Weekend Prospecting West Google,,164599,2255,1818.34,32,,0.0137,0.8064,56.8231,portfolio
2025-04-18,google_ads,Google Ads,paid_search,Paid Search,g-0018,Award Season Retargeting East Google,,175766,2408,1942.1,26,,0.0137,0.8065,74.6962,portfolio
2025-04-18,google_ads,Google Ads,paid_search,Paid Search,g-0019,Streaming Trial Trial Midwest Google,,86131,1180,952.01,11,,0.0137,0.8068,86.5464,portfolio
2025-04-18,google_ads,Google Ads,paid_search,Paid Search,g-0020,International Pack Winback South Google,,97372,1334,1075.77,18,,0.0137,0.8064,59.765,portfolio
2025-04-18,google_ads,Google Ads,paid_search,Paid Search,g-0021,Paramount+ Originals Awareness US Google,,108540,1487,1199.53,19,,0.0137,0.8067,63.1332,portfolio
2025-04-18,google_ads,Google Ads,paid_search,Paid Search,g-0022,Drama Collection Prospecting West Google,,119781,1641,1323.29,15,,0.0137,0.8064,88.2193,portfolio
2025-04-18,google_ads,Google Ads,paid_search,Paid Search,g-0023,Comedy Classics Retargeting East Google 23,,130949,1794,1447.05,25,,0.0137,0.8066,57.882,portfolio
2025-04-18,google_ads,Google Ads,paid_search,Paid Search,g-0024,Sports Weekend Trial Midwest Google 24,,142190,1948,1570.81,19,,0.0137,0.8064,82.6742,portfolio
2025-04-18,google_ads,Google Ads,paid_search,Paid Search,g-0025,Kids and Family Winback South Google 25,,153358,2101,1694.58,28,,0.0137,0.8066,60.5207,portfolio
2025-04-18,meta_ads,Meta,paid_social,Paid Social,m-0001,Paramount+ Spring Promo,,255556,3910,2930.42,34,,0.0153,0.7495,86.1888,portfolio
2025-04-18,meta_ads,Meta,paid_social,Paid Social,m-0002,Yellowstone S5 Launch,,244902,3747,2808.32,35,,0.0153,0.7495,80.2377,portfolio
2025-04-18,meta_ads,Meta,paid_social,Paid Social,m-0003,PAW Patrol: The Mighty Movie,,234248,3584,2686.22,66,,0.0153,0.7495,40.7003,portfolio
2025-04-18,meta_ads,Meta,paid_social,Paid Social,m-0004,Sports Weekend Trial Midwest Meta,,123333,1887,1414.33,20,,0.0153,0.7495,70.7165,portfolio
2025-04-18,meta_ads,Meta,paid_social,Paid Social,m-0005,Kids and Family Winback South Meta,,134837,2063,1546.61,27,,0.0153,0.7497,57.2819,portfolio
2025-04-18,meta_ads,Meta,paid_social,Paid Social,m-0006,Reality Launch Awareness US Meta,,146405,2240,1678.89,19,,0.0153,0.7495,88.3626,portfolio
2025-04-18,meta_ads,Meta,paid_social,Paid Social,m-0007,Sci-Fi Vault Prospecting West Meta,,157908,2416,1811.16,22,,0.0153,0.7497,82.3255,portfolio
2025-04-18,meta_ads,Meta,paid_social,Paid Social,m-0008,Movie Night Retargeting East Meta,,169477,2593,1943.44,31,,0.0153,0.7495,62.6916,portfolio
2025-04-18,meta_ads,Meta,paid_social,Paid Social,m-0009,Holiday Watchlist Trial Midwest Meta,,180980,2769,2075.71,51,,0.0153,0.7496,40.7002,portfolio
2025-04-18,meta_ads,Meta,paid_social,Paid Social,m-0010,Live Events Winback South Meta,,88758,1358,1017.51,18,,0.0153,0.7493,56.5283,portfolio
2025-04-18,meta_ads,Meta,paid_social,Paid Social,m-0011,Library Retention Awareness US Meta,,100261,1534,1149.78,25,,0.0153,0.7495,45.9912,portfolio
2025-04-18,meta_ads,Meta,paid_social,Paid Social,m-0012,Premium Bundle Prospecting West Meta,,111765,1710,1282.06,19,,0.0153,0.7497,67.4768,portfolio
2025-04-18,meta_ads,Meta,paid_social,Paid Social,m-0013,Student Offer Retargeting East Meta,,123333,1887,1414.33,20,,0.0153,0.7495,70.7165,portfolio
2025-04-18,meta_ads,Meta,paid_social,Paid Social,m-0014,Family Plan Trial Midwest Meta,,134837,2063,1546.61,29,,0.0153,0.7497,53.3314,portfolio
2025-04-18,meta_ads,Meta,paid_social,Paid Social,m-0015,Winback Audience Winback South Meta,,146405,2240,1678.89,49,,0.0153,0.7495,34.2631,portfolio
2025-04-18,meta_ads,Meta,paid_social,Paid Social,m-0016,New Release Awareness US Meta,,157908,2416,1811.16,29,,0.0153,0.7497,62.4538,portfolio
2025-04-18,meta_ads,Meta,paid_social,Paid Social,m-0017,Binge Weekend Prospecting West Meta,,169477,2593,1943.44,29,,0.0153,0.7495,67.0152,portfolio
2025-04-18,meta_ads,Meta,paid_social,Paid Social,m-0018,Award Season Retargeting East Meta,,180980,2769,2075.71,46,,0.0153,0.7496,45.1241,portfolio
2025-04-18,meta_ads,Meta,paid_social,Paid Social,m-0019,Streaming Trial Trial Midwest Meta,,88758,1358,1017.51,12,,0.0153,0.7493,84.7925,portfolio
2025-04-18,meta_ads,Meta,paid_social,Paid Social,m-0020,International Pack Winback South Meta,,100261,1534,1149.78,19,,0.0153,0.7495,60.5147,portfolio
2025-04-18,meta_ads,Meta,paid_social,Paid Social,m-0021,Paramount+ Originals Awareness US Meta,,111765,1710,1282.06,35,,0.0153,0.7497,36.6303,portfolio
2025-04-18,meta_ads,Meta,paid_social,Paid Social,m-0022,Drama Collection Prospecting West Meta,,123333,1887,1414.33,27,,0.0153,0.7495,52.3826,portfolio
2025-04-18,meta_ads,Meta,paid_social,Paid Social,m-0023,Comedy Classics Retargeting East Meta,,134837,2063,1546.61,33,,0.0153,0.7497,46.867,portfolio
2025-04-18,meta_ads,Meta,paid_social,Paid Social,m-0024,Sports Weekend Trial Midwest Meta 24,,146405,2240,1678.89,21,,0.0153,0.7495,79.9471,portfolio
2025-04-18,meta_ads,Meta,paid_social,Paid Social,m-0025,Kids and Family Winback South Meta 25,,157908,2416,1811.16,31,,0.0153,0.7497,58.4245,portfolio
2025-04-18,meta_ads,Meta,paid_social,Paid Social,m-0026,Reality Launch Awareness US Meta 26,,169477,2593,1943.44,22,,0.0153,0.7495,88.3382,portfolio
2025-04-18,meta_ads,Meta,paid_social,Paid Social,m-0027,Sci-Fi Vault Prospecting West Meta 27,,180980,2769,2075.71,37,,0.0153,0.7496,56.1003,portfolio
2025-04-18,meta_ads,Meta,paid_social,Paid Social,m-0028,Movie Night Retargeting East Meta 28,,88758,1358,1017.51,12,,0.0153,0.7493,84.7925,portfolio
2025-04-18,microsoft_ads,Microsoft Ads,paid_search,Paid Search,ms-0001,Mission: Impossible - Dead Reckoning,,78990,782,991.59,13,,0.0099,1.268,76.2762,portfolio
2025-04-18,microsoft_ads,Microsoft Ads,paid_search,Paid Search,ms-0002,Drama Collection Prospecting West Microsoft,,31010,307,389.06,7,,0.0099,1.2673,55.58,portfolio
2025-04-18,microsoft_ads,Microsoft Ads,paid_search,Paid Search,ms-0003,Comedy Classics Retargeting East Microsoft,,34545,342,433.82,4,,0.0099,1.2685,108.455,portfolio
2025-04-18,microsoft_ads,Microsoft Ads,paid_search,Paid Search,ms-0004,Sports Weekend Trial Midwest Microsoft,,38081,377,478.58,6,,0.0099,1.2694,79.7633,portfolio
2025-04-18,microsoft_ads,Microsoft Ads,paid_search,Paid Search,ms-0005,Kids and Family Winback South Microsoft,,41717,413,523.34,9,,0.0099,1.2672,58.1489,portfolio
2025-04-18,microsoft_ads,Microsoft Ads,paid_search,Paid Search,ms-0006,Reality Launch Awareness US Microsoft,,45253,448,568.1,8,,0.0099,1.2681,71.0125,portfolio
2025-04-18,microsoft_ads,Microsoft Ads,paid_search,Paid Search,ms-0007,Sci-Fi Vault Prospecting West Microsoft,,48788,483,612.86,8,,0.0099,1.2689,76.6075,portfolio
